DATE,PRCP,SNOW,TMAX,TMIN,WT01
2000-01-01,0,0,58,24,1
2000-01-01,0,0,55,44,
2000-01-02,0,0,56,33,
2000-01-02,0,0,70,39,
2000-01-03,0,0,69,51,
2000-01-03,0,0,66,51,
2000-01-04,0,0,70,57,
2000-01-04,0,0,73,52,
2000-01-05,1.26,0,71,36,
2000-01-05,0,0,55,34,
2000-01-06,0,0,45,24,
2000-01-06,0,0,48,23,
2000-01-07,0,0,50,23,
2000-01-07,0,0,55,25,
2000-01-08,0,0,56,25,
2000-01-08,0,0,47,33,
2000-01-09,0,0,45,27,
2000-01-09,0.01,0,48,37,
2000-01-10,0.03,0,48,38,
2000-01-10,0.59,0,51,40,
2000-01-11,0.61,0,51,37,
2000-01-11,0.02,0,58,39,
2000-01-12,0.01,0,57,30,
2000-01-12,0,0,52,39,
2000-01-13,0,0,53,31,
2000-01-13,0,0,60,23,
2000-01-14,0,0,61,21,
2000-01-14,0,0,42,17,
2000-01-15,0,0,32,17,
2000-01-15,0,0,40,18,
2000-01-16,0,0,40,20,
2000-01-16,0,0,62,30,
2000-01-17,0,0,61,17,
2000-01-17,0,0,51,22,
2000-01-18,0,0,29,13,
2000-01-18,0,0,33,15,
2000-01-19,0.02,0.2,22,13,
2000-01-19,0,0,38,19,
2000-01-20,0.07,1.9,39,14,
2000-01-20,0.3,4,35,25,
2000-01-21,0.11,1.1,35,15,
2000-01-21,0,0,34,25,
2000-01-22,0,0,25,11,
2000-01-22,0,0,32,15,
2000-01-23,0,0,25,13,
2000-01-23,0,0,32,21,
2000-01-24,0,0,31,24,
2000-01-24,0,0,41,27,
2000-01-25,0.48,5.5,41,26,
2000-01-25,0.66,7.5,38,24,
2000-01-26,0.43,4.5,28,20,
2000-01-26,0,0,35,20,
2000-01-27,0,0,25,16,
2000-01-27,0,0,30,10,
2000-01-28,0,0,27,12,
2000-01-28,0,0,34,14,
2000-01-29,0,0,35,12,
2000-01-29,0,0,38,22,
2000-01-30,0,0,43,11,
2000-01-30,0.57,2.5,33,14,
2000-01-31,0.8,1.5,31,23,
2000-01-31,0.03,0,40,26,
2000-02-01,0,0,40,15,
2000-02-01,0,0,39,24,
2000-02-02,0,0,41,21,
2000-02-02,0,0,35,23,
2000-02-03,0,0,36,17,
2000-02-03,0,0,37,35,
2000-02-04,0,0,39,20,
2000-02-04,0,0,41,26,
2000-02-05,0.06,0.5,40,28,
2000-02-05,0,0,41,38,
2000-02-06,0,0,42,27,
2000-02-06,0,0,41,21,
2000-02-07,0,0,43,25,
2000-02-07,0,0,51,28,
2000-02-08,0,0,53,25,
2000-02-08,0,0,51,26,
2000-02-09,0,0,40,16,
2000-02-09,0,0,55,42,
2000-02-10,0,0,53,17,
2000-02-10,0,0,61,26,
2000-02-11,0,0,59,25,
2000-02-11,0,0,62,37,
2000-02-12,0,0,63,31,
2000-02-12,0,0,52,20,
2000-02-13,0,0,32,18,
2000-02-13,0,0,34,23,
2000-02-14,0.16,0,39,28,
2000-02-14,0.11,0,64,32,
2000-02-15,0,0,65,34,
2000-02-15,0,0,64,31,
2000-02-16,0,0,47,28,
2000-02-16,0.01,0,68,29,
2000-02-17,0,0,66,30,
2000-02-17,0,0,65,24,
2000-02-18,0.17,0.5,45,29,
2000-02-18,0.85,0,39,23,
2000-02-19,0.68,0,41,30,
2000-02-19,0.42,0,58,36,
2000-02-20,0,0,55,33,
2000-02-20,0,0,49,31,
2000-02-21,0,0,49,36,
2000-02-21,0,0,50,37,
2000-02-22,0,0,51,28,
2000-02-22,0,0,57,44,
2000-02-23,0,0,59,28,
2000-02-23,0,0,61,35,
2000-02-24,0,0,61,35,
2000-02-24,0,0,72,60,
2000-02-25,0,0,72,42,
2000-02-25,0,0,81,43,
2000-02-26,0,0,82,43,
2000-02-26,0,0,74,42,
2000-02-27,0,0,48,43,
2000-02-27,0.1,0,65,44,
2000-02-28,0.89,0,69,42,
2000-02-28,1.15,0,62,23,
2000-02-29,0,0,60,37,
2000-02-29,0,0,61,33,
2000-03-01,0,0,63,33,
2000-03-01,0.02,0,74,56,
2000-03-02,0,0,65,40,
2000-03-02,0,0,63,24,
2000-03-03,0,0,55,33,
2000-03-03,0,0,53,42,
2000-03-04,0,0,55,31,
2000-03-04,0,0,58,46,
2000-03-05,0,0,60,33,
2000-03-05,0,0,68,33,
2000-03-06,0,0,67,32,
2000-03-06,0,0,66,33,
2000-03-07,0,0,63,30,
2000-03-07,0,0,74,31,
2000-03-08,0,0,72,33,
2000-03-08,0,0,86,30,
2000-03-09,0,0,86,49,
2000-03-09,0,0,85,44,
2000-03-10,0,0,80,51,
2000-03-10,0.01,0,78,45,
2000-03-11,0,0,74,48,
2000-03-11,0.13,0,70,44,
2000-03-12,0.25,0,60,47,
2000-03-12,0.34,0,55,20,
2000-03-13,0,0,48,30,
2000-03-13,0,0,52,39,
2000-03-14,0,0,53,30,
2000-03-14,0.02,0,61,34,
2000-03-15,0,0,61,40,
2000-03-15,0,0,71,58,
2000-03-16,0,0,72,47,
2000-03-16,0,0,71,52,
2000-03-17,0.4,0,73,46,
2000-03-17,0,0,65,32,
2000-03-18,0,0,48,23,
2000-03-18,0,0,47,24,
2000-03-19,0,0,43,28,
2000-03-19,0,0,46,29,
2000-03-20,0,0,47,34,
2000-03-20,0,0,49,38,
2000-03-21,0.35,0,50,38,
2000-03-21,1.8,0,46,39,
2000-03-22,1.93,0,43,39,
2000-03-22,0.46,0,48,40,
2000-03-23,0.02,0,49,38,
2000-03-23,0.01,0,63,46,
2000-03-24,0,0,65,39,
2000-03-24,0.06,0,70,38,
2000-03-25,0,0,71,45,
2000-03-25,0.3,0,77,51,
2000-03-26,0.3,0,75,50,
2000-03-26,0.01,0,68,35,
2000-03-27,0,0,68,37,
2000-03-27,0.21,0,71,44,
2000-03-28,1.32,0,73,45,
2000-03-28,0.32,0,61,34,
2000-03-29,0.08,0,63,41,
2000-03-29,0.06,0,63,31,
2000-03-30,0,0,62,33,
2000-03-30,0,0,66,38,
2000-03-31,0,0,67,33,
2000-03-31,0,0,65,32,
2000-04-01,0,0,63,35,
2000-04-01,0,0,72,33,
2000-04-02,0,0,72,50,
2000-04-02,0,0,70,43,
2000-04-03,0.06,0,72,57,
2000-04-03,0.05,0,76,59,
2000-04-04,0.28,0,77,59,
2000-04-04,0.25,0,75,55,
2000-04-05,0.08,0,64,37,
2000-04-05,0.02,0,58,47,
2000-04-06,0,0,58,38,
2000-04-06,0,0,82,55,
2000-04-07,0,0,83,39,
2000-04-07,0,0,82,46,
2000-04-08,0,0,76,50,
2000-04-08,0.13,0,77,39,
2000-04-09,0.96,0,80,32,
2000-04-09,0.95,0,55,17,
2000-04-10,0.02,0,56,34,
2000-04-10,0.02,0,66,51,
2000-04-11,0,0,68,45,
2000-04-11,0,0,63,49,
2000-04-12,0.04,0,64,49,
